f_(kHz)	Vin_(V)	scala_Vin_(mV)	Vout_(mV)	scala_Vout_(mV)	Dt_(ns)	scala_t_(ns)
114.9	8	2000	88	50	-1940	500
124.9	8	2000	100	50	-1780	500
134.9	8	2000	110	50	-1680	500
144.9	8	2000	124	50	-1560	500
154.9	8	2000	144	50	-1420	500
164.9	8	2000	170	50	-1320	500
174.9	7.84	1000	200	50	-1260	500
184.9	7.76	1000	244	50	-1200	250
194.9	7.68	1000	304	50	-1120	250
199.9	7.6	1000	340	100	-1090	250
204.9	7.44	1000	400	100	-1050	250
209.9	7.28	1000	464	100	-1000	250
214.9	6.88	1000	560	200	-950	250
219.9	6.32	1000	664	200	-870	250
220.9	6.24	1000	688	100	-850	250
221.9	6.08	1000	716	100	-830	250
222.9	5.84	1000	740	100	-810	250
223.9	5.68	1000	772	100	-780	250
224.9	5.44	1000	800	200	-750	250
225.9	5.2	1000	832	200	-720	250
226.9	4.96	1000	864	200	-670	250
227.9	4.64	1000	888	200	-630	250
228.9	4.32	1000	912	200	-570	250
229.9	4.08	1000	944	200	-510	250
230.9	3.76	500	960	200	-428	100
231.9	3.5	500	976	200	-340	100
232.9	3.3	500	992	200	-230	50
233.9	3.16	500	1000	200	-110	50
234.9	3.1	500	1000	200	44	100
235.9	3.14	500	992	200	152	100
236.9	3.26	500	992	200	272	100
237.9	3.46	500	976	200	372	100
238.9	3.68	500	960	200	460	250
239.9	3.96	500	944	200	530	250
240.9	4.24	1000	920	200	590	250
241.9	4.48	1000	900	200	620	250
242.9	4.8	1000	872	200	660	250
243.9	5.04	1000	848	200	690	250
244.9	5.28	1000	816	200	710	250
245.9	5.44	1000	800	200	740	250
246.9	5.68	1000	768	200	760	250
247.9	5.84	1000	750	200	780	250
248.9	6	1000	720	200	790	250
249.9	6.16	1000	696	200	800	250
254.9	6.72	1000	592	200	840	250
264.9	7.28	1000	448	200	850	250
274.9	7.52	1000	360	200	860	250
284.9	7.68	1000	304	200	840	250
294.9	7.76	1000	256	200	820	250
304.9	7.84	1000	224	50	810	250
314.9	7.84	1000	204	50	790	250
324.9	7.92	1000	184	50	770	250
334.9	8	2000	170	50	750	250
344.9	8	2000	156	50	740	250
354.9	8	2000	148	50	720	250
364.9	8	2000	138	50	700	250
374.9	8	2000	130	50	690	250
