f_gen_KHz	Vin	Vout	Fase_us	Scala_V	Scala_us
0,551	7,6	7,56	25	1	5
0,851	7,6	7,48	27,6	1	5
1,131	7,6	7,4	28,8	1	5
1,441	7,6	7,28	29,2	1	5
1,741	7,6	7,16	29,2	1	5
2,041	7,6	7	28,4	1	5
2,341	7,6	6,88	28,4	1	5
2,541	7,58	6,76	28	1	5
3,041	7,56	6,48	26,8	1	5
3,541	7,56	6,2	26	1	5
4,041	7,56	5,92	25,2	1	5
4,564	7,56	5,64	24,4	1	5
4,664	7,56	5,6	24	1	5
4,764	7,56	5,56	24	1	5
4,864	7,56	5,48	24	1	5
4,964	7,56	5,44	23,6	1	5
5,064	7,56	5,4	23,2	1	5
5,164	7,56	5,36	23,2	1	5
5,264	7,56	5,32	23,2	1	5
5,364	7,56	5,24	23,2	1	5
5,464	7,56	5,2	23,2	1	5
5,564	7,56	5,16	22,8	1	5
5,664	7,56	5,12	22,4	1	5
5,764	7,56	5,08	22,4	1	5
5,864	7,56	5	22,4	1	5
5,964	7,56	4,96	22	1	5
6,064	7,56	4,92	21,6	1	5
6,364	7,56	4,76	21,6	1	5
6,664	7,56	4,64	20,8	1	5
7,041	7,56	4,48	20,4	1	5
7,541	7,56	4,32	19,6	1	5
8,041	7,56	4,12	19,2	1	5
8,541	7,56	3,92	18,4	1	5
9,041	7,56	3,76	18	1	5
12,651	7,6	2,99	0	1	5
17,1	7,6	2,3	0	1	1
27,5	7,6	1,6	7,5	1	1
38	7,6	1,01	0	1	1
277	7,6	0,2	0,91	0,05	0,2
1577	7,6	0,035	0,148	0,02	0,02
1877	7,6	0,0304	0,132	0,02	0,02
2177	7,6	0,028	0,108	0,02	0,02
2477	7,6	0,0232	0,1	0,02	0,02
